Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,113.38999938964844,111.51000213623047,112.37000274658203,113.33000183105469,118944600.0,95.09760284423828
2010-01-05,113.68000030517578,112.8499984741211,113.26000213623047,113.62999725341797,111579900.0,95.34934997558594
2010-01-06,113.98999786376953,113.43000030517578,113.5199966430664,113.70999908447266,116074400.0,95.41647338867188
2010-01-07,114.33000183105469,113.18000030517578,113.5,114.19000244140625,131091100.0,95.81926727294922
2010-01-08,114.62000274658203,113.66000366210938,113.88999938964844,114.56999969482422,126402800.0,96.13813781738281
2010-01-11,115.12999725341797,114.23999786376953,115.08000183105469,114.7300033569336,106375700.0,96.27238464355469
2010-01-12,114.20999908447266,113.22000122070312,113.97000122070312,113.66000366210938,163333500.0,95.3745346069336
2010-01-13,114.94000244140625,113.37000274658203,113.94999694824219,114.62000274658203,161822000.0,96.1800765991211
2010-01-14,115.13999938964844,114.41999816894531,114.48999786376953,114.93000030517578,115718800.0,96.44019317626953
2010-01-15,114.83999633789062,113.19999694824219,114.7300033569336,113.63999938964844,212283100.0,95.35774993896484
2010-01-19,115.12999725341797,113.58999633789062,113.62000274658203,115.05999755859375,139172700.0,96.54927825927734
2010-01-20,114.44999694824219,112.9800033569336,114.27999877929688,113.88999938964844,216490200.0,95.56752014160156
2010-01-21,114.2699966430664,111.55999755859375,113.91999816894531,111.69999694824219,344859600.0,93.7298355102539
2010-01-22,111.73999786376953,109.08999633789062,111.19999694824219,109.20999908447266,345942400.0,91.64042663574219
2010-01-25,110.41000366210938,109.41000366210938,110.20999908447266,109.7699966430664,186937500.0,92.11034393310547
2010-01-26,110.47000122070312,109.04000091552734,109.33999633789062,109.30999755859375,211168800.0,91.72433471679688
2010-01-27,110.08000183105469,108.33000183105469,109.16999816894531,109.83000183105469,271863600.0,92.16069793701172
2010-01-28,110.25,107.91000366210938,110.19000244140625,108.56999969482422,316104000.0,91.1034164428711
2010-01-29,109.80000305175781,107.22000122070312,109.04000091552734,107.38999938964844,310677600.0,90.11323547363281
2010-02-01,109.06999969482422,107.5,108.1500015258789,109.05999755859375,187865000.0,91.5145492553711
2010-02-02,110.58999633789062,108.87999725341797,109.26000213623047,110.37999725341797,216327900.0,92.6221923828125
2010-02-03,110.4800033569336,109.51000213623047,109.87999725341797,109.83000183105469,172730700.0,92.16069793701172
2010-02-04,109.02999877929688,106.41999816894531,108.9800033569336,106.44000244140625,356715700.0,89.31607818603516
2010-02-05,106.87999725341797,104.58000183105469,106.55999755859375,106.66000366210938,493585800.0,89.5007095336914
2010-02-08,107.33000183105469,105.80999755859375,106.73999786376953,105.88999938964844,224166900.0,88.85454559326172
2010-02-09,108.1500015258789,106.2699966430664,107.12999725341797,107.22000122070312,337820500.0,89.97055053710938
2010-02-10,107.5999984741211,106.11000061035156,107.05000305175781,107.01000213623047,240511500.0,89.79434204101562
2010-02-11,108.25,106.25,106.87000274658203,108.12999725341797,223591600.0,90.73417663574219
2010-02-12,108.0999984741211,106.51000213623047,106.98999786376953,108.04000091552734,304622100.0,90.6586685180664
2010-02-16,109.8499984741211,107.81999969482422,108.86000061035156,109.73999786376953,159317500.0,92.08517456054688
2010-02-17,110.41000366210938,109.73999786376953,110.2699966430664,110.26000213623047,168845100.0,92.52151489257812
2010-02-18,111.13999938964844,110.04000091552734,110.08000183105469,110.91000366210938,193708600.0,93.06694793701172
2010-02-19,111.56999969482422,110.36000061035156,110.62000274658203,111.13999938964844,222684900.0,93.25992584228516
2010-02-22,111.58000183105469,110.83000183105469,111.55000305175781,111.16000366210938,132346900.0,93.27671813964844
2010-02-23,111.19999694824219,109.5199966430664,110.86000061035156,109.80999755859375,207497000.0,92.14389038085938
2010-02-24,111.0,109.86000061035156,110.13999938964844,110.81999969482422,176350700.0,92.99141693115234
2010-02-25,110.75,108.94000244140625,109.23999786376953,110.66999816894531,259634700.0,92.86554718017578
2010-02-26,111.12000274658203,110.11000061035156,110.7699966430664,110.73999786376953,173589300.0,92.92430114746094
2010-03-01,112.0,111.16999816894531,111.19999694824219,111.88999938964844,147709700.0,93.8892822265625
2010-03-02,112.73999786376953,112.0,112.37000274658203,112.19999694824219,160992400.0,94.14940643310547
2010-03-03,112.97000122070312,112.0199966430664,112.48999786376953,112.30000305175781,150785000.0,94.23332214355469
2010-03-04,112.80000305175781,112.02999877929688,112.44999694824219,112.63999938964844,135770400.0,94.51859283447266
2010-03-05,114.33999633789062,113.0999984741211,113.37000274658203,114.25,176118800.0,95.8696060180664
2010-03-08,114.5199966430664,114.06999969482422,114.26000213623047,114.2699966430664,114631200.0,95.88639068603516
2010-03-09,114.98999786376953,113.87000274658203,113.93000030517578,114.45999908447266,154556700.0,96.04581451416016
